nom_table	nom_champ1	nom_champ2	res_min	res_max	ratio_distinct	nb_valeur_distincts_50	nb_valeur_distincts_500	nb_valeur_distincts_5000	statut
b_i_tcga_i_dmtaxeint	ureidec_h	natlibl	-1.9641352712042863	-2.3092974696400903	1.0	1	0	0	0
b_t_bmg_t_ref_org_qualite_pno	cd_qual	l_qual	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_t_bmg_t_ref_org_qualite_pno	cd_qual	l_qual	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_i_tcga_i_dmtaxeint	peridec_uh	pernoml_rj	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	regidec_r	rcsinsl	0.03373810805393603	0.43969956189145476	1.5	1	0	0	0
b_i_tcga_i_dmtaxeint	regidec_f	urelibl_d	0.03373810805393603	-0.5207267402803748	1.0	1	0	0	0
b_v_ngo_t_contrat	cd_sys	canton	0.6697090362052542	0.5067628857405905	1.0	1	0	0	0
b_v_gb2k_r_contrats	id_contractant_c2	flag_individuel_collectif	-1.1579965373138148	0.5066757859901496	1.5	1	0	0	0
b_t_bmg_t_ref_motif_clot_email	cd_motif_clot_email	l_motif_clot_email	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_t_bmg_t_ref_motif_clot_email	cd_motif_clot_email	l_motif_clot_email	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
rst_gpas_s_s_contrat	cd_nature_personne_rce	lb_etat_contrat_agi	0.0	0.0	0.0	0	0	0	0
b_v_rejet_r_cv_tz_ttproduit	cdcompagnie	nomsas	0.7175753483972249	0.46954080738985987	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_uh	pernoml_ud	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_uh	pernoml_ud	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_rf	rcsinsl	0.13965525803036408	0.3086484063812354	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_ue	rcsinsl	0.13965525803036408	0.3086484063812354	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	insidec_f	reglibl_r	0.6359089622528038	0.43969956189145476	1.5	1	0	0	0
b_v_gbp_e_t5_fin	agi	reseau_new	-0.15405908274303057	0.5067628857405905	1.0	1	0	0	0
b_v_ngo_t_contrat	tab_mortal_provision	flag_ind_coll_assoc	0.6697090362052542	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	ureidec_d	reglibl_e	-0.2533883871903958	-1.042777385492859	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_ue	urelibl_r	0.6359089622528038	0.43969956189145476	1.5	1	0	0	0
b_v_rejet_r_cv_tz_ttcontrat	cdproduitold	cdtest	-0.04829474855512591	0.4988716483506853	1.0	1	0	0	0
b_t_bmg_t_ref_gamme_famille_cibl_produit	cd_ori	l_gamme_cible	-0.6984176642442266	-2.0669119291268587	1.0	1	0	0	0
b_v_dmr_r_ttrettaux	decompte	lbrole	-1.9927827225192587	0.42811181109285534	1.0	1	0	0	0
b_v_ngo_t_contrat	cod_eta_gar_pec	lib_periodicite	-0.7718372673183436	0.5067628857405905	1.0	1	0	0	0
b_v_gb2k_e_contrats	indicateur_maj_deces_a2	libelle_senacq	-0.33355775346292027	0.11350751250191711	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	peridec_rr	pernoml_uj	-0.039016578673880024	0.43969956189145476	0.6666666666666666	1	0	0	0
b_i_tcga_i_dmtaxeint	accnmvc	pernoml_us	-1.9857924780486298	-2.4351182851363595	1.0	1	0	0	0
b_v_ngo_t_provision_rap	franchise_en_jours	position	-0.7169371174370747	-1.3728175018568558	1.0	1	0	0	0
b_v_p3i_r_indiv	franchise_en_jours	position	-0.8147780248470048	-1.5062795784592673	1.0	1	0	0	0
b_i_tcga_i_dmtititu	titauml	titcasl	-2.7795023541546673	-0.24386450555029593	0.8802992518703242	0	1	0	0
b_i_tcga_i_dmtititu	titauml	titcasl	-2.7795023541546673	-0.24386450555029593	0.8802992518703242	0	1	0	0
b_r_gnr_t_rsbtitu	titauml	titcasl	-2.900733658135828	-0.3973656217365437	1.0412698412698413	0	1	0	0
b_r_gnr_t_rsbtitu	titauml	titcasl	-2.900733658135828	-0.3973656217365437	1.0412698412698413	0	1	0	0
b_i_tcga_i_dmtaxeint	ureidec_j	urelibl_d	0.7105242650390023	0.44431323567228603	1.0	1	0	0	0
b_v_rejet_r_cv_tz_ttcontrat	indvlp	cdtest	-0.05263490856772828	0.4041767996718172	1.0	1	0	0	0
b_t_bmg_t_ref_prdt	cd_rgpemt_ligne_prd	l_rgpemt_ligne_prd	0.7068518956508553	0.4964546302759616	1.0	0	1	0	1
b_t_bmg_t_ref_prdt	cd_rgpemt_ligne_prd	l_rgpemt_ligne_prd	0.7068518956508553	0.4964546302759616	1.0	0	1	0	1
b_v_gbp_e_t5_fin	f_pbdifpmis	l_typ_produit	0.7116255926183589	0.5067628857405905	1.0	1	0	0	0
